drug,field,count_2023,count_2024,count_2025,yoy_2024_pct,yoy_2025_pct,multiplier_2025_vs_2024,multiplier_2025_vs_2023,total_faers_2025_yoy_pct,excess_2025_yoy_vs_total_faers_pct,snapshot_date,meta_last_updated
propranolol,openfda_generic_name,5819,6680,5858,14.796356762330298,-12.305389221556887,0.8769461077844312,1.006702182505585,-0.8924246249155675,-11.412964596641318,2026-06-23,2026-04-28
propranolol,medicinalproduct,5055,5695,4978,12.660731948565775,-12.589991220368745,0.8741000877963125,0.9847675568743818,-0.8924246249155675,-11.697566595453177,2026-06-23,2026-04-28
atenolol,openfda_generic_name,3681,3472,3288,-5.677804944308612,-5.299539170506913,0.9470046082949308,0.8932355338223309,-0.8924246249155675,-4.407114545591345,2026-06-23,2026-04-28
atenolol,medicinalproduct,3593,3284,3181,-8.600055663790704,-3.136419001218027,0.9686358099878197,0.8853325911494573,-0.8924246249155675,-2.2439943763024597,2026-06-23,2026-04-28
metoprolol,openfda_generic_name,20502,19793,20245,-3.458199200078041,2.283635628757642,1.0228363562875764,0.9874646375963321,-0.8924246249155675,3.176060253673209,2026-06-23,2026-04-28
metoprolol,medicinalproduct,19676,19018,19643,-3.344175645456394,3.286360290251341,1.0328636029025133,0.9983228298434641,-0.8924246249155675,4.178784915166909,2026-06-23,2026-04-28
